Time_ns,Sine_Out,Sine_Out_Normalized
10225000,0,0.000000
10235000,-9896,-0.302002
10245000,-19195,-0.585785
10255000,-26319,-0.803192
10265000,-31113,-0.949493
10275000,-32765,-0.999908
10285000,-31113,-0.949493
10295000,-26319,-0.803192
10305000,-19195,-0.585785
10315000,-9896,-0.302002
10325000,0,0.000000
10335000,9896,0.302002
10345000,19195,0.585785
10355000,26319,0.803192
10365000,31113,0.949493
10375000,32765,0.999908
10385000,31113,0.949493
10395000,26319,0.803192
10405000,19195,0.585785
10415000,9896,0.302002
10425000,0,0.000000
10435000,-9896,-0.302002
10445000,-19195,-0.585785
10455000,-26319,-0.803192
10465000,-31113,-0.949493
10475000,-32765,-0.999908
10485000,-31113,-0.949493
10495000,-26319,-0.803192
10505000,-19195,-0.585785
10515000,-9896,-0.302002
10525000,0,0.000000
10535000,9896,0.302002
10545000,19195,0.585785
10555000,26319,0.803192
10565000,31113,0.949493
10575000,32765,0.999908
10585000,31113,0.949493
10595000,26319,0.803192
10605000,19195,0.585785
10615000,9896,0.302002
10625000,0,0.000000
10635000,-9896,-0.302002
10645000,-19195,-0.585785
10655000,-26319,-0.803192
10665000,-31113,-0.949493
10675000,-32765,-0.999908
10685000,-31113,-0.949493
10695000,-26319,-0.803192
10705000,-19195,-0.585785
10715000,-9896,-0.302002
10725000,0,0.000000
10735000,9896,0.302002
10745000,19195,0.585785
10755000,26319,0.803192
10765000,31113,0.949493
10775000,32765,0.999908
10785000,31113,0.949493
10795000,26319,0.803192
10805000,19195,0.585785
10815000,9896,0.302002
10825000,0,0.000000
10835000,-9896,-0.302002
10845000,-19195,-0.585785
10855000,-26319,-0.803192
10865000,-31113,-0.949493
